客户ID,网龄(月),月费,总费用,是否有电话服务,是否有网络服务,是否有在线安全服务,是否有技术支持,是否有流媒体电视,合同类型,是否无纸化账单,支付方式,是否流失
CU0236,55,119.52802704430644,6574.041487436854,0,0,0,0,1,两年付,1,银行转账,0
CU0237,21,38.423786372934444,806.8995138316234,1,1,0,0,0,年付,0,邮寄支票,0
CU0238,15,112.5732566988421,1688.5988504826314,0,0,0,0,1,月付,0,银行转账,1
CU0239,45,96.59934614928528,4346.9705767178375,1,0,0,0,0,年付,1,邮寄支票,0
CU0240,60,73.16883076302713,4390.129845781628,0,0,1,1,1,年付,1,信用卡,0
CU0241,30,72.64427686996704,2179.328306099011,1,1,0,0,1,月付,0,信用卡,1
CU0242,69,28.09493215789202,1938.5503188945495,0,0,0,0,1,两年付,1,邮寄支票,0
CU0243,45,23.907180099568908,1075.823104480601,1,1,1,1,1,月付,1,电子支票,0
CU0244,34,100.62242660604258,3421.162504605448,1,0,0,0,1,年付,1,银行转账,0
CU0245,70,66.34935106634998,4644.454574644498,1,0,1,1,0,年付,0,银行转账,0
CU0246,31,81.78853592908573,2535.4446138016574,0,0,1,0,0,年付,0,邮寄支票,0
CU0247,53,93.77335973507068,4969.988065958746,0,0,0,1,0,两年付,0,银行转账,0
CU0248,23,115.11805755968123,2647.7153238726683,1,0,1,1,0,月付,0,电子支票,0
CU0249,30,65.99172166268113,1979.751649880434,1,1,1,0,1,年付,1,信用卡,0
CU0250,37,33.88358433021316,1253.692620217887,1,1,1,1,1,年付,0,银行转账,0
CU0251,1,30.271291632554636,30.271291632554636,0,1,1,0,0,年付,1,信用卡,0
CU0252,14,27.870670425924164,390.1893859629383,0,0,0,0,1,年付,1,电子支票,0
CU0253,47,53.287398744011355,2504.5077409685337,1,0,0,1,0,月付,0,邮寄支票,1
CU0254,37,46.903551278680006,1735.4313973111603,1,1,0,1,0,年付,1,电子支票,0
CU0255,36,74.64966288851298,2687.387863986467,0,0,1,0,1,年付,1,邮寄支票,0
CU0256,33,63.12349284823931,2083.0752639918974,1,1,0,0,1,月付,0,信用卡,1
CU0257,68,83.86338369336669,5702.710091148934,0,0,1,0,1,月付,0,电子支票,0
CU0258,69,20.548232337572806,1417.8280312925235,1,1,1,0,1,两年付,1,邮寄支票,0
CU0259,50,86.54825385766813,4327.412692883407,1,0,0,1,1,年付,1,电子支票,0
CU0260,59,70.44835434729421,4156.452906490358,1,0,1,1,1,月付,0,银行转账,0
CU0261,22,72.24638322200362,1589.4204308840795,1,1,1,0,0,月付,0,银行转账,1
CU0262,41,32.650714066894295,1338.6792767426662,0,0,1,0,0,年付,0,邮寄支票,0
CU0263,52,29.966942529826404,1558.281011550973,1,0,1,0,1,月付,0,信用卡,0
CU0264,19,64.15057836972892,1218.8609890248495,1,1,0,1,1,年付,1,电子支票,1
CU0265,64,119.39876215344624,7641.5207778205595,1,1,0,0,0,年付,0,邮寄支票,0
CU0266,7,109.07269835746607,763.5088885022625,0,1,1,0,0,年付,1,银行转账,0
CU0267,47,84.85624646656414,3988.243583928515,1,1,0,1,0,两年付,0,信用卡,0
CU0268,65,70.81529059467202,4602.993888653681,0,1,0,0,0,年付,1,信用卡,0
CU0269,48,73.86533377877454,3545.536021381178,1,0,0,0,1,年付,1,银行转账,0
CU0270,68,42.47578151952442,2888.3531433276603,0,0,1,0,0,月付,0,信用卡,1
CU0271,53,43.25504358702126,2292.517310112127,1,0,1,0,1,两年付,0,电子支票,0
CU0272,57,105.85151578785141,6033.536399907531,1,1,1,1,0,两年付,1,信用卡,0
CU0273,69,79.63072705970437,5494.520167119602,1,0,1,1,1,两年付,0,信用卡,0
CU0274,68,116.63473569723064,7931.162027411683,0,1,1,1,0,年付,0,信用卡,1
CU0275,15,74.1589213625909,1112.3838204388635,0,0,1,1,1,月付,1,银行转账,1
CU0276,10,52.50849542701669,525.0849542701669,1,0,0,0,0,年付,0,邮寄支票,0
CU0277,69,98.79209424577563,6816.654502958519,1,1,0,0,1,两年付,1,银行转账,0
CU0278,52,60.636226434819434,3153.083774610611,0,1,1,1,1,两年付,0,电子支票,0
CU0279,43,33.62615323685957,1445.9245891849616,1,1,0,0,1,两年付,1,银行转账,0
CU0280,71,20.51400822242904,1456.494583792462,0,1,1,0,1,两年付,1,信用卡,0
CU0281,42,117.57020802503247,4937.948737051363,0,0,1,0,1,两年付,0,信用卡,0
CU0282,34,26.906424006493538,914.8184162207803,1,1,0,1,0,月付,1,银行转账,1
CU0283,34,42.31382517737288,1438.6700560306779,0,0,0,0,0,两年付,1,电子支票,0
CU0284,9,24.82883175501584,223.45948579514257,0,1,0,1,1,月付,0,邮寄支票,0
CU0285,58,22.550555909867956,1307.9322427723414,1,0,1,0,1,两年付,0,银行转账,0
CU0286,65,62.69029701468865,4074.8693059547622,1,1,1,0,1,两年付,1,电子支票,0
CU0287,42,45.75000410944712,1921.500172596779,0,1,0,1,1,月付,1,邮寄支票,0
CU0288,42,92.1304466307825,3869.478758492865,1,0,0,1,1,月付,0,邮寄支票,0
CU0289,68,61.91700712727865,4210.356484654948,0,1,1,1,0,月付,1,电子支票,1
CU0290,43,68.1636100741778,2931.035233189645,0,1,0,0,0,两年付,0,信用卡,0
CU0291,48,25.387554664392702,1218.6026238908498,1,1,1,0,1,月付,0,邮寄支票,0
CU0292,27,29.64340774007192,800.3720089819418,0,1,1,1,1,两年付,0,信用卡,0
CU0293,7,108.44097996964496,759.0868597875146,0,0,0,1,0,年付,1,电子支票,0
CU0294,54,27.824035392683847,1502.4979112049277,1,0,1,1,1,月付,1,电子支票,1
CU0295,47,61.41354016672582,2886.436387836113,0,0,0,1,1,月付,0,电子支票,1
CU0296,56,33.906795857025955,1898.7805679934536,1,1,1,0,1,两年付,1,邮寄支票,0
CU0297,38,27.84354309698765,1058.0546376855307,1,0,0,0,0,年付,0,邮寄支票,0
CU0298,20,42.00595354547501,840.1190709095001,0,0,0,1,0,两年付,0,邮寄支票,0
CU0299,1,27.800802444366017,27.800802444366017,1,0,0,1,1,两年付,0,邮寄支票,0
