用户ID,实验分组,年龄段,性别,设备类型,页面停留时间(秒),是否转化,点击次数
AB00112,B组(实验组),25-34,男,iOS,92.79901681255376,0,6
AB00113,A组(对照组),35-44,男,Android,107.01839862428906,1,5
AB00114,A组(对照组),35-44,女,PC,3.78409280776053,0,2
AB00115,B组(实验组),45+,男,PC,115.57645189526458,0,8
AB00116,B组(实验组),45+,男,Android,5.481608221266011,0,4
AB00117,A组(对照组),45+,女,iOS,88.89331796990402,0,7
AB00118,B组(实验组),25-34,男,iOS,16.202683620132042,0,3
AB00119,A组(对照组),35-44,女,iOS,68.6102988034344,0,7
AB00120,B组(实验组),18-24,女,PC,42.11229905820789,0,6
AB00121,B组(实验组),35-44,女,iOS,138.09001781779875,0,7
AB00122,A组(对照组),18-24,男,Android,13.33195825279438,0,4
AB00123,B组(实验组),18-24,男,Android,20.92916104167042,0,1
AB00124,A组(对照组),25-34,男,Android,28.067175220200397,0,6
AB00125,B组(实验组),35-44,女,iOS,26.679454592770956,0,6
AB00126,A组(对照组),25-34,女,Android,11.53855331006852,0,8
AB00127,A组(对照组),18-24,男,iOS,8.464778002431604,0,10
AB00128,A组(对照组),45+,女,Android,92.1150214767281,0,7
AB00129,B组(实验组),45+,男,Android,10.279914148376191,0,7
AB00130,A组(对照组),25-34,女,iOS,3.076775712995235,0,6
AB00131,B组(实验组),45+,女,Android,76.28695036795064,0,10
AB00132,A组(对照组),18-24,女,iOS,35.62954158637231,0,8
AB00133,A组(对照组),25-34,女,PC,48.69063119345641,0,6
AB00134,B组(实验组),45+,女,PC,0.5610717781068963,0,2
AB00135,B组(实验组),25-34,男,iOS,78.78407089510623,1,7
AB00136,B组(实验组),45+,女,PC,69.59038393677912,0,3
AB00137,B组(实验组),45+,男,iOS,17.29764902007693,0,7
AB00138,B组(实验组),35-44,男,Android,15.983977612365974,0,5
AB00139,A组(对照组),25-34,男,iOS,7.081271685010078,0,8
AB00140,B组(实验组),18-24,女,Android,8.302225227720363,0,4
AB00141,B组(实验组),18-24,男,Android,35.98241345516422,0,5
AB00142,B组(实验组),35-44,男,Android,84.08541676267038,0,4
AB00143,A组(对照组),45+,女,PC,78.48716227733483,0,8
AB00144,B组(实验组),35-44,男,Android,1.6525879760344369,0,4
AB00145,A组(对照组),18-24,女,Android,168.0356765952055,0,8
AB00146,A组(对照组),35-44,男,Android,3.075270235381131,0,3
AB00147,A组(对照组),25-34,男,Android,7.843550495828414,0,5
AB00148,A组(对照组),25-34,女,iOS,10.338874869829175,0,3
AB00149,B组(实验组),35-44,女,PC,4.614621693824353,0,6
AB00150,B组(实验组),25-34,男,PC,67.92466672674645,0,4
AB00151,B组(实验组),25-34,女,iOS,323.12076722429543,1,6
AB00152,A组(对照组),25-34,男,iOS,21.024963534104664,0,12
AB00153,B组(实验组),35-44,女,PC,90.19681824233743,0,6
AB00154,B组(实验组),18-24,男,iOS,50.54744546017474,1,6
AB00155,A组(对照组),18-24,女,PC,13.814391131124687,0,6
AB00156,B组(实验组),18-24,男,iOS,27.593180174060418,0,4
AB00157,B组(实验组),18-24,男,Android,129.78405524757798,0,11
AB00158,B组(实验组),45+,男,iOS,48.46477223491069,0,6
AB00159,B组(实验组),18-24,男,Android,165.43151789084285,1,7
AB00160,B组(实验组),25-34,男,PC,45.608102359190866,0,1
AB00161,A组(对照组),18-24,女,iOS,118.96466994711442,1,3
AB00162,B组(实验组),45+,男,Android,202.43606829461012,0,11
AB00163,B组(实验组),35-44,男,Android,29.41633405729107,0,6
AB00164,A组(对照组),45+,女,iOS,71.61961459962072,0,4
AB00165,A组(对照组),45+,女,PC,30.97853119958954,0,7
AB00166,A组(对照组),45+,女,PC,37.398896980565354,0,4
AB00167,A组(对照组),45+,男,Android,34.598859667400085,0,4
AB00168,B组(实验组),18-24,女,iOS,5.894166577531258,1,5
AB00169,B组(实验组),25-34,女,iOS,3.1443239658249946,1,12
AB00170,A组(对照组),35-44,男,PC,26.23804819955359,0,9
AB00171,B组(实验组),18-24,男,PC,19.368918038001272,0,0
AB00172,B组(实验组),18-24,男,iOS,9.707835348347293,0,4
AB00173,B组(实验组),45+,女,iOS,2.830497392810321,0,8
AB00174,A组(对照组),25-34,男,iOS,149.2559629433684,0,6
AB00175,B组(实验组),45+,女,Android,72.00040695429225,0,3
AB00176,A组(对照组),35-44,女,Android,62.317047451193936,0,7
AB00177,B组(实验组),25-34,男,PC,37.98933357158625,0,6
AB00178,B组(实验组),35-44,男,Android,25.260205634350548,0,5
AB00179,B组(实验组),18-24,女,Android,133.8109139717281,0,4
AB00180,B组(实验组),25-34,男,iOS,179.67357431864693,0,4
AB00181,B组(实验组),45+,女,iOS,209.67241000943042,0,8
AB00182,A组(对照组),35-44,女,PC,70.37524924272675,0,6
AB00183,A组(对照组),45+,男,PC,1.4917462693660322,0,8
AB00184,B组(实验组),45+,男,Android,20.999304867553498,0,5
AB00185,A组(对照组),25-34,男,PC,5.7499164896034625,0,3
AB00186,B组(实验组),35-44,女,Android,310.1627557037676,0,5
AB00187,A组(对照组),35-44,女,PC,72.57465576341649,1,5
AB00188,A组(对照组),18-24,男,Android,18.563518779438127,0,6
AB00189,B组(实验组),18-24,男,iOS,39.16132000180386,0,6
AB00190,B组(实验组),45+,女,Android,7.055425893266666,0,3
AB00191,B组(实验组),35-44,女,Android,5.358933029460718,0,10
AB00192,B组(实验组),35-44,男,Android,38.28793222920476,0,8
AB00193,A组(对照组),25-34,女,iOS,103.1166986610126,0,5
AB00194,A组(对照组),45+,女,Android,81.61879199528552,0,4
AB00195,A组(对照组),35-44,女,iOS,49.55355624054151,0,1
AB00196,B组(实验组),35-44,男,Android,6.655469740808608,0,4
AB00197,A组(对照组),35-44,女,PC,129.86535116536896,0,11
AB00198,A组(对照组),18-24,女,Android,132.895928024825,0,1
AB00199,A组(对照组),35-44,女,PC,11.53760168134134,0,4
AB00200,A组(对照组),25-34,女,PC,204.82260436923153,1,12
AB00201,A组(对照组),45+,男,iOS,91.01887840237447,0,5
AB00202,A组(对照组),25-34,女,iOS,56.488331201251945,0,6
AB00203,B组(实验组),25-34,女,Android,5.459308298897921,0,4
AB00204,B组(实验组),35-44,男,PC,12.756883993495832,0,9
AB00205,B组(实验组),18-24,男,iOS,32.59915360859475,0,5
AB00206,B组(实验组),18-24,女,Android,15.642726520074836,0,5
AB00207,A组(对照组),45+,男,PC,58.11518635829108,0,12
AB00208,A组(对照组),45+,女,iOS,13.331457502016724,0,7
AB00209,A组(对照组),35-44,男,PC,14.762264231193422,0,11
AB00210,A组(对照组),25-34,女,Android,1.9742615368555616,0,5
AB00211,B组(实验组),45+,男,PC,169.7394771305033,0,6
AB00212,B组(实验组),25-34,男,PC,8.137976315916774,0,3
AB00213,A组(对照组),18-24,男,PC,35.859335495836405,0,4
AB00214,A组(对照组),35-44,男,iOS,17.020085730401835,0,4
AB00215,B组(实验组),18-24,男,PC,6.689676218283935,0,3
AB00216,B组(实验组),25-34,女,Android,100.2715025909795,0,9
AB00217,A组(对照组),18-24,女,Android,65.08760930072435,0,2
AB00218,A组(对照组),25-34,男,Android,40.71833588039754,0,7
AB00219,B组(实验组),45+,女,Android,99.90890736482498,0,4
AB00220,A组(对照组),25-34,女,Android,132.18704535016005,0,2
AB00221,A组(对照组),25-34,女,Android,16.546657562680057,0,6
AB00222,A组(对照组),35-44,女,iOS,25.054451200267867,0,5
AB00223,A组(对照组),25-34,女,Android,114.19812015989835,0,4
AB00224,B组(实验组),18-24,女,Android,9.845500280423527,0,1
AB00225,A组(对照组),35-44,女,Android,48.328643894527204,1,5
AB00226,A组(对照组),25-34,女,Android,179.07925167544764,0,3
AB00227,B组(实验组),45+,女,PC,36.50743846999043,0,9
AB00228,B组(实验组),18-24,男,iOS,8.418510788728241,0,5
AB00229,A组(对照组),18-24,女,PC,63.87124536108575,0,5
AB00230,A组(对照组),45+,女,iOS,9.560151200082178,0,7
AB00231,A组(对照组),25-34,女,Android,6.9827033016768,0,2
AB00232,A组(对照组),18-24,男,PC,81.53531538955622,0,5
AB00233,B组(实验组),18-24,女,PC,37.38558559334034,0,3
AB00234,A组(对照组),45+,女,Android,29.301529641393344,0,5
AB00235,B组(实验组),25-34,女,Android,59.83616040576253,0,8
AB00236,A组(对照组),35-44,女,iOS,104.54981422712687,0,1
AB00237,B组(实验组),25-34,女,Android,158.05766338971617,0,3
AB00238,B组(实验组),25-34,男,iOS,75.37226205462679,0,6
AB00239,A组(对照组),18-24,女,iOS,17.206496298808172,0,4
AB00240,A组(对照组),25-34,女,Android,43.57198442893796,0,5
AB00241,B组(实验组),45+,男,Android,52.45350908117529,0,2
AB00242,B组(实验组),35-44,男,PC,7.673926592498195,0,3
AB00243,A组(对照组),45+,女,iOS,104.80070506002849,0,6
AB00244,B组(实验组),45+,女,iOS,42.50044779069233,0,4
AB00245,A组(对照组),18-24,女,Android,163.1511327714609,0,4
AB00246,A组(对照组),25-34,女,Android,27.455877164480054,0,7
AB00247,A组(对照组),25-34,女,PC,17.221280842109156,0,2
AB00248,B组(实验组),25-34,女,PC,26.100995213771164,0,5
AB00249,B组(实验组),25-34,女,PC,203.20906077768814,1,7
AB00250,A组(对照组),18-24,女,Android,97.56120813685088,0,7
AB00251,B组(实验组),35-44,女,iOS,59.66060043239769,0,5
AB00252,A组(对照组),18-24,女,iOS,67.82606609185181,0,4
AB00253,B组(实验组),18-24,女,PC,18.93147749067785,0,10
AB00254,B组(实验组),25-34,女,PC,97.68193337973666,0,6
AB00255,B组(实验组),25-34,女,iOS,5.657407446219952,0,6
AB00256,A组(对照组),45+,男,PC,53.38480217909842,0,4
AB00257,A组(对照组),25-34,女,iOS,14.367701881185521,0,2
AB00258,A组(对照组),18-24,女,Android,24.95137737702301,0,4
AB00259,A组(对照组),18-24,男,iOS,13.164841460882013,0,6
AB00260,B组(实验组),35-44,男,PC,17.377720233396982,0,6
AB00261,B组(实验组),35-44,男,Android,260.14463724882853,0,5
AB00262,B组(实验组),18-24,男,iOS,18.072524669221934,1,4
AB00263,A组(对照组),18-24,男,Android,40.112850289832366,0,6
AB00264,B组(实验组),25-34,男,iOS,64.1062142463585,0,5
AB00265,B组(实验组),45+,女,PC,122.60457939936298,0,5
AB00266,B组(实验组),18-24,男,iOS,53.870558067356626,0,7
AB00267,B组(实验组),25-34,女,iOS,253.644450543179,0,7
AB00268,A组(对照组),35-44,女,Android,177.14093873480277,0,3
AB00269,A组(对照组),35-44,女,Android,110.7997154364608,0,0
AB00270,A组(对照组),25-34,男,Android,10.774840000265469,0,4
AB00271,A组(对照组),45+,女,Android,84.99579266073845,0,2
AB00272,A组(对照组),35-44,女,Android,159.29225724004738,0,3
AB00273,A组(对照组),35-44,女,iOS,21.274313622269474,1,3
AB00274,A组(对照组),25-34,女,Android,21.0747052639798,0,3
AB00275,B组(实验组),25-34,女,iOS,22.84890681496882,0,3
AB00276,B组(实验组),25-34,男,iOS,87.95428849193276,0,6
AB00277,B组(实验组),25-34,男,iOS,128.64020832399322,0,5
AB00278,B组(实验组),18-24,男,iOS,34.603318455866706,0,8
AB00279,A组(对照组),25-34,男,Android,1.7786322921799882,0,4
AB00280,B组(实验组),45+,男,Android,19.84022139606015,0,2
AB00281,A组(对照组),45+,女,PC,68.1328031837024,0,4
AB00282,B组(实验组),25-34,男,PC,61.048670818998794,0,4
AB00283,B组(实验组),18-24,男,PC,11.817135861215396,0,6
AB00284,B组(实验组),18-24,男,iOS,106.06791767346974,0,2
AB00285,A组(对照组),25-34,女,iOS,55.097148584819955,0,7
AB00286,A组(对照组),25-34,女,iOS,21.16034659338183,1,7
AB00287,A组(对照组),18-24,男,Android,128.72431635550436,0,9
AB00288,B组(实验组),25-34,女,iOS,34.56837639310247,1,5
AB00289,B组(实验组),35-44,男,iOS,35.78847845014197,0,4
AB00290,B组(实验组),18-24,女,PC,95.91991885427763,0,4
AB00291,B组(实验组),45+,男,PC,29.95609510817412,0,2
AB00292,A组(对照组),18-24,男,PC,36.65713422388001,0,3
AB00293,B组(实验组),35-44,男,iOS,20.07582547028621,0,3
AB00294,B组(实验组),18-24,男,Android,34.6750222145197,0,5
AB00295,B组(实验组),35-44,女,PC,100.42100179665081,0,2
AB00296,A组(对照组),35-44,男,Android,1.500332474672446,0,7
AB00297,B组(实验组),25-34,女,iOS,52.86948573988122,0,4
AB00298,B组(实验组),45+,女,iOS,55.27918698563871,0,4
AB00299,A组(对照组),45+,男,Android,30.275793257772253,0,0
AB00300,A组(对照组),45+,男,Android,30.395992497677426,0,2
AB00301,A组(对照组),45+,女,iOS,5.361763655139628,1,3
AB00302,A组(对照组),35-44,男,PC,14.505402203773947,0,9
AB00303,B组(实验组),45+,男,PC,299.2221010889819,0,4
AB00304,B组(实验组),18-24,女,PC,29.534227291892414,0,9
AB00305,A组(对照组),45+,男,iOS,36.647647360032934,0,8
AB00306,A组(对照组),35-44,女,Android,81.89773969527414,0,2
AB00307,A组(对照组),18-24,男,PC,193.40989139010495,1,14
AB00308,B组(实验组),45+,女,Android,8.646073986041417,0,3
AB00309,A组(对照组),35-44,男,PC,89.13728362015948,0,2
AB00310,B组(实验组),18-24,男,iOS,23.251743622843136,0,3
AB00311,A组(对照组),18-24,男,Android,126.37840218795654,0,2
AB00312,B组(实验组),45+,男,PC,12.97287908849911,0,6
AB00313,A组(对照组),35-44,女,Android,130.3552822776511,0,3
AB00314,A组(对照组),45+,女,PC,19.147783848386897,0,5
AB00315,A组(对照组),25-34,女,PC,46.06615170288375,0,7
AB00316,A组(对照组),45+,男,PC,158.2006808277568,1,2
AB00317,A组(对照组),35-44,男,Android,10.7529014217977,0,5
AB00318,A组(对照组),35-44,女,iOS,77.15379710974041,0,3
AB00319,A组(对照组),18-24,女,Android,78.45419174572501,0,4
AB00320,A组(对照组),25-34,男,PC,37.85859821850962,0,5
AB00321,A组(对照组),35-44,女,PC,129.61408561288684,0,8
AB00322,B组(实验组),45+,女,Android,25.83722648277633,0,3
AB00323,B组(实验组),35-44,男,iOS,55.60482097236504,0,3
AB00324,A组(对照组),45+,女,Android,15.259078158066611,0,9
AB00325,B组(实验组),18-24,女,Android,46.57100139243048,0,1
AB00326,B组(实验组),25-34,女,PC,89.66193458154339,0,4
AB00327,B组(实验组),35-44,女,Android,240.48922486572528,0,8
AB00328,B组(实验组),35-44,女,iOS,42.7061434344011,0,3
AB00329,B组(实验组),45+,女,iOS,100.15908977934289,0,7
AB00330,A组(对照组),35-44,女,PC,15.213886156680772,0,6
AB00331,A组(对照组),35-44,女,PC,15.030037305538572,0,6
AB00332,B组(实验组),35-44,男,Android,63.11064509540279,1,6
AB00333,B组(实验组),25-34,女,PC,33.60417540556659,0,3
AB00334,B组(实验组),45+,男,PC,17.144918399068114,0,6
AB00335,A组(对照组),25-34,女,PC,44.13886709857825,0,4
AB00336,A组(对照组),45+,女,PC,25.668886565519642,0,4
AB00337,B组(实验组),45+,女,PC,67.12012375426765,0,7
AB00338,B组(实验组),25-34,男,iOS,61.11888548852084,0,5
AB00339,A组(对照组),35-44,男,Android,57.13152084286425,0,7
AB00340,A组(对照组),35-44,男,Android,7.857740096500202,0,1
AB00341,A组(对照组),25-34,男,iOS,191.62562273333913,0,5
AB00342,A组(对照组),45+,女,iOS,5.390034908301094,0,7
AB00343,A组(对照组),25-34,女,iOS,6.395570819139673,0,5
AB00344,A组(对照组),25-34,女,Android,7.0741822299143005,0,7
AB00345,A组(对照组),18-24,女,Android,61.209788605230656,0,5
AB00346,B组(实验组),18-24,女,Android,132.7631011112203,0,1
AB00347,A组(对照组),25-34,女,PC,47.08343432212131,0,5
AB00348,B组(实验组),35-44,男,iOS,41.489398035856645,1,9
AB00349,A组(对照组),45+,男,PC,31.99652865063412,1,2
AB00350,A组(对照组),18-24,女,iOS,52.225828280591934,0,3
AB00351,A组(对照组),18-24,男,PC,86.35115225217848,0,5
AB00352,A组(对照组),45+,女,Android,13.17272368912806,0,7
AB00353,B组(实验组),18-24,男,iOS,87.5586293055431,0,4
AB00354,B组(实验组),45+,女,PC,136.53688469958047,1,5
AB00355,B组(实验组),45+,男,PC,91.391008535611,0,9
AB00356,A组(对照组),45+,男,Android,21.28184524429435,1,8
AB00357,B组(实验组),35-44,女,PC,33.860467033815866,0,4
AB00358,A组(对照组),45+,女,PC,23.1121477907396,0,3
AB00359,A组(对照组),45+,女,Android,93.73555630266995,0,3
AB00360,A组(对照组),35-44,男,Android,162.421232530128,0,2
AB00361,A组(对照组),35-44,女,iOS,19.402333502769864,0,4
AB00362,B组(实验组),25-34,女,PC,139.7352253812642,0,10
AB00363,A组(对照组),25-34,男,iOS,20.988259574347236,0,8
AB00364,A组(对照组),25-34,女,Android,64.23154678031644,0,3
AB00365,A组(对照组),25-34,女,iOS,3.3289507137358747,0,7
AB00366,A组(对照组),25-34,女,Android,24.006066692669325,0,7
AB00367,A组(对照组),45+,女,PC,15.792153588368926,0,5
AB00368,B组(实验组),18-24,女,PC,118.03668585305525,0,9
AB00369,A组(对照组),18-24,男,PC,22.955765820661842,0,5
AB00370,A组(对照组),45+,男,Android,266.7740558313651,1,8
AB00371,A组(对照组),35-44,女,iOS,100.58937495711001,1,5
AB00372,A组(对照组),18-24,女,iOS,55.6073377471616,0,7
AB00373,B组(实验组),18-24,男,PC,3.97549957891648,0,5
AB00374,A组(对照组),25-34,女,iOS,27.696329818516976,0,5
AB00375,A组(对照组),45+,女,iOS,17.40795281905307,0,2
AB00376,A组(对照组),45+,男,Android,155.8063923319489,0,3
AB00377,B组(实验组),45+,男,PC,65.56422771107223,0,6
AB00378,B组(实验组),18-24,男,Android,27.232344014693492,0,4
AB00379,B组(实验组),35-44,女,PC,41.1742988847223,0,7
AB00380,A组(对照组),25-34,女,Android,16.17243339639992,0,4
AB00381,A组(对照组),25-34,女,PC,30.416625839397707,0,4
AB00382,A组(对照组),18-24,女,Android,60.7706107396139,0,7
AB00383,B组(实验组),25-34,男,Android,116.31220053907658,0,6
AB00384,A组(对照组),25-34,男,Android,22.8287767098617,0,2
AB00385,A组(对照组),45+,男,iOS,25.782103159045036,0,11
AB00386,A组(对照组),25-34,女,Android,90.83795814769731,0,3
AB00387,B组(实验组),18-24,男,Android,53.353187083018035,0,4
AB00388,A组(对照组),35-44,女,iOS,13.146706065706962,0,0
AB00389,A组(对照组),35-44,女,iOS,39.49354550472273,0,8
AB00390,B组(实验组),35-44,男,Android,316.59533606325084,1,9
AB00391,B组(实验组),45+,男,iOS,19.136783141302516,0,2
AB00392,A组(对照组),35-44,男,Android,4.325876719095688,0,5
AB00393,A组(对照组),18-24,男,PC,8.283599664304981,0,4
AB00394,A组(对照组),25-34,女,Android,25.13081664178136,1,4
AB00395,B组(实验组),35-44,女,iOS,35.54356362802056,0,6
AB00396,B组(实验组),45+,男,iOS,215.4095587664498,1,4
AB00397,A组(对照组),18-24,女,iOS,27.271160456983672,0,6
AB00398,A组(对照组),18-24,男,Android,6.480251061760321,0,7
AB00399,B组(实验组),25-34,男,Android,26.13747338475271,0,5
AB00400,A组(对照组),18-24,女,PC,25.737561133723215,0,4
AB00401,B组(实验组),18-24,女,PC,78.49416305519296,0,9
AB00402,A组(对照组),45+,男,Android,0.3067123879191668,0,5
AB00403,A组(对照组),35-44,女,PC,34.82824440473914,0,4
AB00404,A组(对照组),25-34,女,iOS,80.74656256276168,0,1
AB00405,B组(实验组),45+,女,Android,14.950737864514368,0,4
AB00406,B组(实验组),35-44,男,PC,25.293515580874654,1,4
AB00407,B组(实验组),45+,男,iOS,3.870681669034824,0,2
AB00408,B组(实验组),35-44,女,PC,0.9587607480927774,0,8
AB00409,B组(实验组),45+,女,Android,62.723020519250284,0,5
AB00410,A组(对照组),25-34,女,PC,162.1300596310892,0,5
AB00411,B组(实验组),35-44,男,Android,15.354270807948224,0,3
AB00412,A组(对照组),45+,女,Android,73.17664613912592,1,5
AB00413,B组(实验组),35-44,男,Android,38.16689773630918,0,4
AB00414,B组(实验组),35-44,女,Android,28.49907725287543,0,2
AB00415,B组(实验组),18-24,男,PC,27.241608799573324,0,4
AB00416,A组(对照组),45+,女,iOS,5.960172841633483,0,3
AB00417,A组(对照组),18-24,男,PC,130.58144117709654,0,4
AB00418,B组(实验组),25-34,女,iOS,94.91691213399396,0,4
AB00419,B组(实验组),45+,女,PC,12.583269212098987,0,3
AB00420,A组(对照组),35-44,男,PC,146.07148206734843,0,6
