用户ID,订单ID,订单日期,订单金额,支付方式,配送方式
U00008,O369881,2022-01-23,17.374050843429902,支付宝,自提
U00008,O547887,2022-01-31,61.967875404959756,支付宝,快递
U00008,O726768,2022-02-07,17.285120084938967,银行卡,自提
U00008,O344497,2022-02-13,97.93835771287797,银行卡,快递
U00008,O574323,2022-03-07,35.16911580853968,花呗,自提
U00008,O434397,2022-04-23,46.82854127549885,支付宝,快递
U00008,O476116,2022-05-28,13.889871523135321,支付宝,快递
U00009,O538683,2022-02-12,21.612737447478818,微信,自提
U00009,O466256,2022-02-21,64.24301947442217,微信,快递
U00009,O948844,2022-04-19,61.780997248340434,支付宝,快递
U00009,O785894,2022-06-16,51.802115492371335,银行卡,同城配送
U00009,O860351,2022-07-04,67.79479055265895,支付宝,快递
U00009,O721311,2022-08-29,16.385614489265393,银行卡,快递
U00009,O174801,2022-09-23,119.99789602853852,银行卡,自提
U00010,O328973,2022-01-04,49.98409312268736,微信,快递
U00010,O720140,2022-01-17,32.95145940462275,银行卡,自提
U00010,O894244,2022-02-20,31.685991305408887,花呗,快递
U00010,O557065,2022-03-24,40.52914452479947,支付宝,自提
U00010,O800842,2022-05-20,10.533112989252285,支付宝,同城配送
U00010,O528453,2022-05-31,98.32393239428355,支付宝,同城配送
U00010,O857826,2022-06-15,41.42812110588427,银行卡,同城配送
U00011,O901054,2022-02-24,17.41936263679477,支付宝,快递
U00011,O552423,2022-04-07,71.13928380546164,花呗,快递
U00011,O451508,2022-04-12,22.648177780371146,银行卡,同城配送
U00011,O639358,2022-05-17,23.366282768648173,微信,同城配送
U00011,O801311,2022-06-25,22.465277841791274,银行卡,快递
U00012,O303981,2022-01-03,10.0,支付宝,同城配送
U00012,O212165,2022-02-11,329.1145462815916,支付宝,同城配送
U00012,O664458,2022-02-28,55.512898806131744,微信,快递
U00012,O385853,2022-03-03,159.4586650125459,支付宝,同城配送
U00012,O997097,2022-04-21,85.82236248514806,支付宝,快递
U00012,O958702,2022-05-15,24.12127554203121,微信,快递
U00012,O991817,2022-06-12,72.39691866525695,支付宝,快递
U00012,O969097,2022-06-19,49.72154617534535,支付宝,快递
U00013,O490188,2022-01-16,27.976115435380887,银行卡,同城配送
U00013,O794939,2022-03-15,12.374941288925426,微信,同城配送
U00013,O490583,2022-04-23,169.15776888870028,支付宝,自提
U00013,O669838,2022-05-22,108.12732918883889,花呗,同城配送
U00013,O623767,2022-07-13,51.61168998111603,花呗,自提
U00013,O108845,2022-08-31,57.48169030319678,微信,同城配送
U00014,O215065,2022-01-25,61.374890569493694,银行卡,自提
U00014,O683293,2022-02-27,46.62968459475237,微信,自提
U00014,O424328,2022-03-20,10.0,银行卡,快递
U00014,O977838,2022-03-24,22.414971517027524,微信,快递
U00014,O933211,2022-05-12,111.30615949660492,花呗,快递
U00015,O697706,2022-02-17,52.78566096468357,花呗,自提
U00015,O769286,2022-03-17,43.8657007772575,花呗,快递
U00015,O972319,2022-04-05,44.588608561081855,银行卡,同城配送
U00015,O443190,2022-04-17,106.74512811043799,花呗,同城配送
U00015,O521240,2022-05-11,144.58083955645205,银行卡,自提
U00015,O885314,2022-06-15,102.45262646532052,银行卡,同城配送
U00015,O224520,2022-07-16,131.51225030669931,花呗,同城配送
U00016,O235582,2022-02-28,41.49807634480861,支付宝,自提
U00016,O790491,2022-04-26,86.79667460395902,支付宝,快递
U00016,O740171,2022-06-23,65.4591556224067,支付宝,同城配送
U00017,O557303,2022-01-30,39.3500176728569,支付宝,快递
U00017,O178751,2022-02-04,109.4760853935536,支付宝,快递
U00017,O117938,2022-03-09,157.35251903315609,银行卡,同城配送
U00017,O167070,2022-03-21,20.85965096900897,微信,自提
U00017,O271017,2022-04-13,45.217877146788645,银行卡,同城配送
U00017,O327497,2022-05-03,32.443432755891486,微信,自提
U00017,O868332,2022-05-23,123.77777182258741,花呗,同城配送
U00018,O695960,2022-02-24,49.182571388007446,微信,快递
U00018,O593941,2022-02-26,10.714905057578555,花呗,快递
U00018,O965476,2022-03-22,26.63629105834838,花呗,同城配送
U00018,O739013,2022-05-08,263.288945215881,银行卡,同城配送
U00018,O824203,2022-05-24,141.62017952323114,微信,同城配送
U00018,O268698,2022-06-23,31.755140355713,支付宝,快递
U00018,O871076,2022-07-22,22.056472274146635,微信,快递
U00018,O329994,2022-08-28,202.95651027141577,花呗,自提
U00018,O529728,2022-10-08,396.79713671035705,微信,同城配送
U00018,O821618,2022-10-31,19.917070610743966,支付宝,同城配送
U00018,O102234,2022-11-18,24.97463667058993,微信,快递
U00019,O464731,2022-01-29,29.44542602890258,支付宝,同城配送
U00019,O269128,2022-02-24,22.242465783944386,银行卡,快递
U00019,O670395,2022-04-15,95.5162517249609,花呗,快递
U00020,O201042,2022-01-03,146.26307421152282,微信,自提
U00020,O762499,2022-02-18,58.37116673220862,微信,自提
U00020,O948940,2022-02-28,233.87692300980814,支付宝,自提
U00020,O356137,2022-03-19,73.97217280322205,支付宝,同城配送
U00020,O844262,2022-03-25,204.86372053082266,微信,自提
U00020,O680020,2022-05-08,11.268331168175102,支付宝,自提
U00020,O983374,2022-05-27,59.81192131556155,支付宝,同城配送
U00021,O916162,2022-01-24,32.95925554822181,微信,快递
U00021,O573014,2022-01-27,72.57664026210392,花呗,同城配送
U00021,O831388,2022-02-06,177.3560337868347,花呗,快递
U00021,O962595,2022-03-11,13.6868209510597,花呗,自提
U00021,O355921,2022-04-05,137.089701896294,支付宝,快递
U00022,O984826,2022-01-03,162.73156667352575,支付宝,同城配送
U00022,O739016,2022-02-06,10.564655575912317,花呗,同城配送
U00022,O927959,2022-03-10,32.39284545829662,支付宝,快递
U00022,O954125,2022-03-25,58.123215873929254,花呗,自提
U00022,O883269,2022-04-01,58.43951208202286,微信,同城配送
U00023,O452554,2022-02-10,65.97176760251365,微信,同城配送
U00023,O668675,2022-04-02,109.08990803675592,花呗,快递
U00023,O516965,2022-04-09,43.04684794291451,花呗,快递
U00023,O359870,2022-04-17,13.212757673292492,花呗,同城配送
U00024,O419504,2022-01-05,82.78304758929163,微信,快递
U00024,O177998,2022-01-19,214.76620723731898,支付宝,快递
U00024,O796069,2022-03-04,20.258461331729787,支付宝,快递
U00024,O336568,2022-03-16,49.14373942682183,支付宝,快递
U00024,O805719,2022-03-26,363.2928022459595,支付宝,自提
U00024,O295910,2022-04-21,75.94609118577685,花呗,同城配送
U00025,O729236,2022-01-17,64.25285002420462,微信,同城配送
U00025,O600035,2022-02-12,55.70975276965476,银行卡,同城配送
U00025,O901378,2022-03-10,104.89000841634277,微信,自提
U00025,O605705,2022-04-29,98.48271325598952,花呗,自提
U00025,O199585,2022-06-04,41.33518833302953,微信,自提
U00026,O892217,2022-01-24,20.38137371213262,银行卡,同城配送
U00026,O275162,2022-02-03,173.6350861303606,微信,同城配送
U00026,O664371,2022-03-02,176.44139423287103,微信,同城配送
U00026,O952721,2022-04-29,40.550001815882524,银行卡,快递
U00026,O907743,2022-06-26,137.03806870261812,微信,同城配送
U00027,O233625,2022-01-18,47.49793506810763,花呗,同城配送
U00027,O566191,2022-02-14,26.71161585950284,花呗,快递
U00028,O583020,2022-01-25,61.192185687967765,微信,自提
U00028,O722246,2022-03-04,38.801872864281236,花呗,同城配送
U00028,O994675,2022-04-03,69.31944614302498,支付宝,同城配送
U00028,O826431,2022-04-22,236.63254884870383,银行卡,自提
U00028,O792837,2022-06-13,35.080299658329295,花呗,快递
U00028,O870099,2022-08-07,43.14727915992104,微信,同城配送
U00028,O961833,2022-08-26,100.79337446916865,支付宝,同城配送
U00028,O509772,2022-08-29,63.8449573112422,花呗,自提
U00028,O829736,2022-09-02,26.884675916301276,花呗,同城配送
U00028,O503148,2022-10-28,70.52668051915074,支付宝,同城配送
U00029,O471093,2022-02-02,115.50510003662328,微信,快递
U00029,O439395,2022-02-11,323.47990513641764,花呗,快递
U00029,O423011,2022-02-17,59.44187320003409,支付宝,自提
U00029,O441993,2022-04-13,10.0,支付宝,同城配送
U00029,O386081,2022-05-20,17.443505674106415,花呗,同城配送
U00029,O767378,2022-06-08,18.118443522337405,微信,自提
U00029,O874031,2022-07-22,60.65851258246876,银行卡,快递
U00030,O707473,2022-02-21,90.54011674335794,微信,自提
U00030,O381141,2022-03-27,77.07137904487385,花呗,快递
U00030,O901984,2022-04-10,106.2269197629757,花呗,自提
U00030,O718938,2022-06-03,131.41269309593628,银行卡,快递
U00031,O901604,2022-02-09,60.958937926727145,花呗,同城配送
U00031,O748791,2022-02-21,181.41432631976718,花呗,自提
U00031,O122642,2022-03-13,34.13302642917081,微信,同城配送
U00031,O919825,2022-04-20,10.0,花呗,自提
U00032,O819324,2022-02-08,10.0,花呗,自提
U00032,O686311,2022-04-08,80.23867885730412,银行卡,同城配送
U00032,O747817,2022-04-09,68.470185495956,银行卡,自提
U00032,O389196,2022-04-19,31.801356238492435,微信,同城配送
U00032,O302942,2022-04-20,66.93061760838025,银行卡,快递
U00032,O530915,2022-05-22,27.32616568331801,花呗,快递
U00032,O403012,2022-06-04,92.12242490793548,花呗,同城配送
U00033,O760512,2022-02-02,411.90281856541156,银行卡,快递
U00033,O518033,2022-02-27,205.77347831090603,微信,自提
U00033,O407198,2022-04-08,10.0,微信,自提
U00033,O404103,2022-05-01,21.59401914932623,银行卡,快递
U00034,O930823,2022-02-28,13.744235402792915,支付宝,同城配送
U00034,O771098,2022-04-06,124.08437284998766,花呗,快递
U00034,O442535,2022-05-14,27.016792158770066,支付宝,快递
U00034,O976288,2022-06-26,77.90281609626032,微信,快递
U00035,O517827,2022-01-05,92.35961203590645,支付宝,自提
U00035,O140983,2022-01-21,105.33363476181147,花呗,自提
U00035,O403959,2022-03-20,27.94975981994599,微信,快递
U00036,O980664,2022-01-07,184.77315186578073,支付宝,自提
U00036,O660612,2022-02-03,239.13191168408656,银行卡,自提
U00036,O645347,2022-02-12,23.22863510564341,微信,快递
U00036,O100571,2022-04-08,408.43328410400005,支付宝,同城配送
U00036,O943577,2022-04-18,80.31776352683563,微信,自提
U00036,O605903,2022-04-19,232.711419947488,银行卡,同城配送
U00036,O954383,2022-06-02,286.92281771991867,支付宝,同城配送
U00036,O723907,2022-07-23,234.67286422270288,花呗,自提
U00036,O973891,2022-09-17,31.557065525834563,微信,同城配送
U00036,O464519,2022-09-19,41.97755633377149,花呗,快递
U00037,O115276,2022-01-23,302.3219250630303,支付宝,自提
U00037,O926595,2022-03-08,10.0,银行卡,快递
U00037,O149538,2022-05-06,19.56694893686862,微信,快递
U00037,O148155,2022-06-17,20.854497401299707,银行卡,同城配送
U00037,O509340,2022-06-29,256.8051703522101,花呗,快递
U00037,O720939,2022-07-07,45.85856944780745,银行卡,同城配送
U00037,O313181,2022-08-31,28.575326008209604,微信,自提
U00038,O506221,2022-02-25,68.70189347411703,银行卡,快递
U00038,O685061,2022-03-22,83.82839738182975,银行卡,同城配送
U00038,O300888,2022-03-31,322.41588301514685,花呗,同城配送
U00038,O797267,2022-05-20,107.11665486562926,银行卡,自提
U00039,O570627,2022-02-28,472.7187514908726,微信,同城配送
U00039,O898144,2022-04-11,62.02153030788756,花呗,同城配送
U00039,O120453,2022-05-31,21.25431274227555,微信,同城配送
U00039,O595037,2022-06-26,707.717178741817,支付宝,自提
U00039,O773960,2022-08-14,55.32412914309148,微信,快递
U00039,O218487,2022-10-12,55.58035769690679,支付宝,自提
U00039,O490449,2022-11-22,277.2124956888221,微信,快递
U00039,O342143,2023-01-05,24.240428486574675,银行卡,自提
U00040,O417735,2022-02-28,103.1494920040012,银行卡,快递
U00040,O730669,2022-04-04,49.93823099815888,微信,自提
U00040,O607456,2022-05-13,27.113102388283004,银行卡,同城配送
U00040,O459602,2022-06-09,10.0,花呗,同城配送
U00040,O520341,2022-06-14,43.4668371302323,银行卡,快递
U00041,O415499,2022-01-29,106.60920826164738,微信,自提
U00041,O248649,2022-02-24,244.7548239726058,支付宝,快递
U00041,O439326,2022-03-18,33.941730199056224,银行卡,同城配送
U00041,O726373,2022-04-07,156.06040592349342,花呗,自提
U00041,O243578,2022-04-21,24.456230132078975,银行卡,自提
U00041,O905430,2022-05-31,123.65917157117336,支付宝,快递
U00042,O996646,2022-01-06,100.55310688685985,支付宝,快递
U00042,O738570,2022-01-21,75.5213400727527,微信,自提
U00042,O347371,2022-03-19,42.81447213299193,支付宝,同城配送
U00042,O778970,2022-05-13,16.34108451814321,银行卡,自提
U00042,O931655,2022-07-10,49.157148290074815,微信,自提
U00042,O623138,2022-08-06,18.073287198667952,银行卡,自提
U00042,O507683,2022-10-04,38.21565410885171,银行卡,同城配送
U00042,O402591,2022-11-30,132.00268694535842,银行卡,自提
U00042,O726301,2022-12-13,73.24419335530223,支付宝,同城配送
U00043,O558304,2022-01-09,19.06521032288055,银行卡,快递
U00043,O201071,2022-01-10,37.173842010096244,支付宝,同城配送
U00043,O336164,2022-01-26,36.76106396048531,银行卡,快递
U00043,O612857,2022-03-07,101.61232460728519,微信,快递
U00043,O401433,2022-03-26,52.91757683366062,银行卡,同城配送
U00044,O464587,2022-01-02,106.00060788535195,支付宝,快递
U00044,O274298,2022-01-25,27.85360126154062,微信,快递
U00044,O877018,2022-02-28,24.748280921744623,支付宝,自提
U00045,O233930,2022-01-12,115.61692092246066,支付宝,快递
U00045,O171292,2022-01-19,188.33288532054405,花呗,快递
U00045,O916631,2022-03-07,62.030159623765606,支付宝,同城配送
U00045,O585820,2022-03-30,104.96117539164177,花呗,快递
U00046,O546272,2022-02-18,38.32113259035101,银行卡,同城配送
U00046,O773749,2022-04-14,62.20643942471141,支付宝,同城配送
U00046,O463336,2022-06-01,73.68255268368648,银行卡,同城配送
U00046,O807900,2022-07-26,862.0995682105835,银行卡,同城配送
U00046,O440497,2022-08-15,10.0,支付宝,快递
U00046,O712846,2022-08-26,12.335563512009125,银行卡,快递
U00047,O814361,2022-02-15,18.170556038415196,银行卡,快递
U00047,O847427,2022-04-11,104.28732802074377,银行卡,快递
U00047,O525805,2022-05-02,35.30742393343375,微信,同城配送
U00047,O443609,2022-06-09,10.0,花呗,自提
U00047,O744819,2022-07-20,46.31548551133779,微信,自提
U00047,O169793,2022-08-05,323.918780019633,微信,自提
U00048,O154762,2022-02-10,114.87777292723983,微信,自提
U00048,O423500,2022-02-23,39.20883131587284,微信,自提
U00048,O570010,2022-03-22,65.65849027456376,花呗,自提
U00048,O382323,2022-04-11,64.60533746213477,花呗,快递
U00049,O901831,2022-01-27,23.670339951334014,银行卡,同城配送
U00049,O325259,2022-03-09,24.27666026633493,银行卡,快递
U00049,O412017,2022-04-23,42.05636177125678,花呗,同城配送
U00049,O867348,2022-05-26,25.715093902885705,银行卡,快递
U00049,O973743,2022-07-06,57.41510230900873,花呗,快递
U00050,O473719,2022-02-12,182.15267485992393,银行卡,同城配送
U00050,O944919,2022-03-18,156.31278504590415,花呗,快递
U00050,O372585,2022-03-31,39.352125634745484,银行卡,同城配送
U00050,O313043,2022-04-22,69.54985922743971,微信,自提
U00050,O342606,2022-05-22,99.88271514536513,花呗,同城配送
U00050,O660270,2022-06-14,16.915911677454933,微信,快递
U00050,O304719,2022-07-29,63.808769148961254,微信,同城配送
U00050,O328351,2022-08-06,24.361260975348074,花呗,快递
U00051,O925769,2022-02-09,12.22076493480492,微信,同城配送
U00051,O310804,2022-03-18,74.54804928217632,支付宝,同城配送
U00051,O646481,2022-04-07,117.06638380452635,支付宝,自提
U00051,O139252,2022-04-17,190.45555299641828,花呗,同城配送
U00051,O660933,2022-04-19,69.9352127535922,支付宝,同城配送
U00051,O171635,2022-05-17,32.79799364344686,银行卡,快递
U00051,O603231,2022-05-27,27.501416226175806,花呗,快递
U00052,O110111,2022-02-20,133.56463696224233,银行卡,同城配送
U00052,O555915,2022-04-13,76.10206796459697,支付宝,自提
U00052,O817510,2022-05-20,20.03234035941394,微信,自提
U00052,O290357,2022-06-10,33.80418415095228,微信,自提
U00053,O825100,2022-02-04,134.80138136635753,银行卡,自提
U00053,O442585,2022-02-15,26.917820901429792,支付宝,自提
U00053,O864347,2022-02-25,28.279087750179166,支付宝,自提
U00053,O951619,2022-04-01,40.02536378019602,微信,快递
U00053,O636749,2022-05-27,29.759673199545073,微信,自提
U00053,O545493,2022-06-04,35.14908790469718,花呗,快递
U00053,O406747,2022-07-08,56.114650895122736,银行卡,自提
U00053,O620685,2022-08-29,10.27816068946748,微信,同城配送
U00054,O602467,2022-02-13,78.28721210113221,花呗,同城配送
U00054,O497305,2022-02-19,220.72278156554387,支付宝,同城配送
U00055,O948373,2022-02-10,266.84073968210976,花呗,同城配送
U00055,O168476,2022-02-11,102.23164022419948,银行卡,快递
U00055,O320096,2022-02-20,348.6517363818566,花呗,快递
U00055,O716206,2022-02-24,206.32030233568207,银行卡,自提
U00055,O759664,2022-02-25,22.169735263148393,花呗,自提
U00055,O458041,2022-04-09,18.38873706842355,微信,同城配送
U00055,O716082,2022-05-26,52.35250525442779,微信,同城配送
U00055,O138725,2022-07-18,12.315270813300494,微信,快递
U00055,O658121,2022-07-20,10.0,银行卡,自提
U00056,O338944,2022-02-14,60.43503489035774,微信,同城配送
U00056,O345317,2022-02-25,169.9466976788585,银行卡,快递
U00056,O199824,2022-03-14,81.24935087065425,微信,同城配送
U00056,O723327,2022-03-31,17.824358818891746,花呗,同城配送
U00056,O647427,2022-05-24,10.0,银行卡,自提
U00056,O278468,2022-06-04,151.95365842345865,银行卡,自提
U00056,O390387,2022-07-12,68.04296598689005,银行卡,同城配送
U00056,O887567,2022-07-14,96.06262449711664,花呗,同城配送
U00056,O488719,2022-08-30,95.4055737144131,花呗,快递
U00056,O688293,2022-09-17,212.75782379474742,银行卡,自提
U00056,O444555,2022-10-01,49.41565512378274,银行卡,同城配送
U00056,O232559,2022-11-24,10.0,微信,同城配送
U00057,O153836,2022-01-14,22.900557876862546,支付宝,快递
U00057,O174928,2022-02-17,38.86851488907311,花呗,同城配送
U00057,O712165,2022-02-23,66.48066362134811,花呗,同城配送
U00057,O664986,2022-04-02,142.8733627224665,微信,快递
U00057,O413775,2022-04-06,54.917060596794514,支付宝,同城配送
U00057,O737991,2022-04-11,14.098981184109485,花呗,快递
U00057,O584570,2022-05-30,44.30876130720087,微信,自提
U00057,O887074,2022-07-25,17.337029065806817,银行卡,自提
U00057,O444699,2022-07-29,23.95795034687943,微信,自提
U00057,O933413,2022-08-29,22.026730108446493,支付宝,自提
U00057,O620449,2022-10-10,52.99160787614278,支付宝,同城配送
U00057,O510222,2022-11-05,10.0,微信,快递
U00057,O291076,2022-12-26,13.38085312305335,支付宝,同城配送
U00057,O131126,2023-01-30,52.967722971916444,支付宝,同城配送
U00058,O627200,2022-01-23,209.6342467650915,银行卡,自提
U00058,O990158,2022-01-27,30.922422851612186,微信,快递
U00058,O706205,2022-02-11,22.160050032549705,支付宝,同城配送
U00058,O615568,2022-02-21,93.8402723079289,微信,自提
U00058,O452908,2022-03-02,33.28492378989956,微信,快递
U00059,O873732,2022-01-13,29.37314227980211,支付宝,快递
U00059,O566925,2022-02-06,21.95613784438709,花呗,同城配送
U00059,O149276,2022-03-28,86.09065252374856,银行卡,自提
U00059,O254986,2022-05-12,233.65813940960712,花呗,自提
U00059,O713627,2022-06-23,25.677676733641064,支付宝,快递
U00059,O963096,2022-06-27,73.13743152741355,银行卡,快递
U00060,O758510,2022-01-17,25.11081610661163,银行卡,同城配送
U00060,O629103,2022-03-09,189.31332371101956,微信,同城配送
U00060,O587251,2022-04-11,206.06591144977574,微信,同城配送
U00060,O433884,2022-06-04,396.75179032794136,支付宝,快递
U00061,O806042,2022-02-13,287.61657482395105,花呗,快递
U00061,O882372,2022-03-01,41.706623315006226,微信,快递
U00061,O703637,2022-03-04,41.308849607321456,支付宝,同城配送
U00061,O183697,2022-03-13,390.0624152571834,微信,快递
U00061,O999310,2022-04-17,33.81300102605811,支付宝,同城配送
U00061,O597350,2022-06-10,468.9985148597237,银行卡,快递
U00062,O777713,2022-02-13,487.5515751745389,银行卡,自提
U00062,O227153,2022-03-12,72.20336441538112,支付宝,同城配送
U00062,O547314,2022-04-04,53.806467828331826,微信,同城配送
U00062,O161940,2022-05-10,73.2405378892498,银行卡,同城配送
U00062,O936345,2022-07-05,452.8160294900024,微信,同城配送
U00062,O852016,2022-08-08,30.22247844887466,微信,快递
U00063,O397173,2022-02-25,101.18524654207559,银行卡,快递
U00063,O242217,2022-03-06,39.359961772306654,银行卡,快递
U00063,O849347,2022-04-27,10.858917596133567,花呗,快递
U00063,O519913,2022-06-01,14.61255573589759,微信,自提
U00063,O831025,2022-07-16,86.4959159480032,花呗,快递
U00063,O497530,2022-09-12,65.65970691881472,花呗,快递
U00063,O561237,2022-11-08,29.72003204099678,微信,快递
U00063,O823734,2022-12-10,37.821084096297575,银行卡,同城配送
U00063,O855629,2022-12-24,37.99527625696146,花呗,同城配送
U00064,O357263,2022-02-03,80.78142836150592,支付宝,自提
U00064,O353749,2022-02-08,72.37529769910739,微信,同城配送
U00064,O107459,2022-03-24,232.36935165266058,银行卡,同城配送
U00064,O437386,2022-04-26,25.64636257594183,花呗,快递
U00064,O484531,2022-06-03,15.100059442839706,银行卡,自提
U00064,O797994,2022-06-28,406.24909181449885,支付宝,快递
U00065,O782268,2022-01-30,59.38280981797703,银行卡,自提
U00065,O960263,2022-03-11,26.181002345982954,花呗,快递
U00065,O713189,2022-05-08,28.25052394253045,花呗,同城配送
U00065,O294969,2022-06-21,460.6525293387562,银行卡,自提
U00065,O928221,2022-07-31,18.608826913913386,微信,快递
U00065,O498281,2022-09-26,10.0,银行卡,快递
U00065,O511972,2022-10-12,128.6016211748613,微信,同城配送
U00066,O240534,2022-01-03,97.67178755313387,支付宝,自提
U00066,O609774,2022-02-22,390.7115042286002,支付宝,自提
U00066,O129541,2022-04-09,26.667281926820724,支付宝,同城配送
U00066,O723379,2022-04-22,77.75912099314418,花呗,同城配送
U00066,O496582,2022-06-16,15.172617266840568,花呗,快递
U00066,O459782,2022-06-17,29.424239142196644,支付宝,自提
U00067,O285691,2022-02-15,75.40166030723196,微信,自提
U00067,O946450,2022-03-08,41.97193413923361,银行卡,自提
U00067,O172024,2022-03-25,10.607031402307678,花呗,快递
U00067,O136660,2022-04-30,75.8612242121784,微信,同城配送
U00068,O830404,2022-01-23,28.529152658355287,花呗,自提
U00068,O765432,2022-03-16,93.70781442717214,支付宝,自提
U00068,O661421,2022-05-10,66.96683310993242,银行卡,自提
U00068,O968467,2022-05-15,40.73140419129703,银行卡,快递
U00068,O491438,2022-06-02,33.050581942604495,微信,快递
U00068,O298085,2022-07-04,435.1225896531138,微信,快递
U00068,O614237,2022-08-01,27.2305978966831,支付宝,快递
U00068,O376885,2022-08-07,21.30134473947354,支付宝,自提
U00068,O540085,2022-08-18,31.15420433277178,支付宝,自提
U00069,O240845,2022-02-04,123.69216840926275,微信,自提
U00069,O764545,2022-04-02,285.05044227867705,银行卡,同城配送
U00069,O383732,2022-05-09,53.754558055991446,花呗,快递
U00069,O654558,2022-05-15,20.422726184171733,支付宝,同城配送
U00069,O432386,2022-05-29,221.65724257899242,支付宝,快递
U00069,O703292,2022-06-11,62.74951438216358,花呗,同城配送
U00069,O936016,2022-06-27,107.09024078843818,微信,自提
U00069,O619356,2022-08-05,119.58997021941663,花呗,自提
U00070,O828941,2022-02-25,25.07085506633997,微信,同城配送
U00070,O282138,2022-04-13,159.08076101000643,支付宝,同城配送
U00070,O662646,2022-05-01,87.44207364456206,银行卡,同城配送
U00070,O633879,2022-05-02,22.459694110107307,花呗,自提
U00070,O435440,2022-05-23,19.477107658967885,银行卡,快递
U00070,O997244,2022-06-19,80.10287931574776,支付宝,自提
U00070,O663753,2022-07-21,214.19778236187383,花呗,快递
U00070,O986946,2022-07-29,45.610821806497256,花呗,快递
U00070,O575542,2022-09-02,172.22578842974525,银行卡,快递
U00071,O122306,2022-01-22,12.467829171337998,花呗,同城配送
U00071,O687150,2022-01-25,15.797213174300017,微信,快递
U00071,O894358,2022-02-04,81.7779613984507,花呗,自提
U00071,O913338,2022-03-13,48.15584292586739,微信,快递
U00072,O419885,2022-01-27,10.0,支付宝,同城配送
U00072,O628353,2022-02-10,176.87367135520284,微信,同城配送
U00072,O617385,2022-03-23,41.00436094109905,支付宝,同城配送
U00073,O592718,2022-01-10,92.12597535685943,花呗,同城配送
U00073,O883719,2022-01-28,202.57326878767768,银行卡,同城配送
U00073,O333250,2022-03-15,312.3042716278406,支付宝,快递
U00074,O524361,2022-02-12,533.9475636189767,银行卡,自提
U00074,O571342,2022-03-12,10.0,微信,自提
